keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
conventional-computer,21,-0.12,0.48,0.74,0.77
conventional-technology,1,-0.09,0.60,0.54,0.96
convergence,6,-0.17,0.45,0.62,0.96
convince,11,-0.10,0.60,0.67,0.90
cool,19,-0.16,0.53,0.55,1.00
coolest,0,-0.16,0.50,0.50,0.89
cooperate,22,-0.06,0.66,0.68,0.90
cooperation,3,-0.14,0.55,0.60,0.90
coordinate,22,-0.06,0.66,0.74,0.82
cope,11,-0.10,0.60,0.54,0.99
copy,2,-0.19,0.47,0.51,0.99
core-component,32,-0.14,0.55,0.65,0.89
core-focus,32,-0.14,0.55,0.60,0.87
core-processor,17,-0.09,0.62,0.72,0.79
cornell,26,-0.14,0.54,0.60,0.84
corner,19,-0.16,0.53,0.56,0.96
cornerstone,32,-0.14,0.55,0.72,0.77
correct,37,-0.15,0.56,0.56,0.94
correlated,35,-0.17,0.50,0.72,0.91
correlation,12,-0.11,0.59,0.59,0.97
correspondence,2,-0.19,0.47,0.62,0.88
cost-effective,33,-0.11,0.59,0.81,0.74
cost-effectively,33,-0.11,0.59,0.60,0.93
cost-function,12,-0.11,0.59,0.73,0.83
costly,37,-0.15,0.56,0.62,0.87
count,19,-0.16,0.53,0.59,0.96
country,20,-0.13,0.57,0.54,0.93
couple,15,-0.19,0.47,0.63,0.94
coupler,1,-0.09,0.60,0.70,0.83
coupling,1,-0.09,0.60,0.62,0.99
cover,11,-0.10,0.60,0.60,0.94
covid-19-pandemic,4,-0.20,0.45,0.50,0.93
cpus,17,-0.09,0.62,0.87,0.65
cq,13,-0.17,0.46,0.61,0.83
crack,19,-0.16,0.53,0.60,0.91
crc,13,-0.17,0.46,0.57,0.89
create,29,-0.02,0.69,0.80,0.90
creating,3,-0.14,0.55,0.51,0.98
creative,8,-0.17,0.51,0.67,0.90
creativity,3,-0.14,0.55,0.57,0.96
criterion,18,-0.21,0.38,0.56,0.95
critical,37,-0.15,0.56,0.72,0.84
critical-infrastructure,25,-0.14,0.54,0.59,1.00
critical-part,32,-0.14,0.55,0.69,0.78
critical-phenomena,9,0.29,0.27,0.58,0.74
critical-point,32,-0.14,0.55,0.56,0.86
critical-role,32,-0.14,0.55,0.62,0.88
critical-step,32,-0.14,0.55,0.78,0.72
critical-technologies,3,-0.14,0.55,0.61,0.94
criticize,11,-0.10,0.60,0.64,0.90
cross,19,-0.16,0.53,0.63,0.87
cross-talk,12,-0.11,0.59,0.56,0.96
crosstalk,12,-0.11,0.59,0.66,0.91
crowd,15,-0.19,0.47,0.62,0.93
crucial,37,-0.15,0.56,0.72,0.84
crucial-building-block,32,-0.14,0.55,0.62,0.94
crucial-role,32,-0.14,0.55,0.60,0.85
crucial-step,32,-0.14,0.55,0.78,0.69
cruise,15,-0.19,0.47,0.53,0.96
cryogenic-temperature,1,-0.09,0.60,0.58,0.96
cryostat,1,-0.09,0.60,0.69,0.81
cryptographer,26,-0.14,0.54,0.61,0.86
cryptographic-key,39,-0.12,0.59,0.62,0.99
cryptography,31,-0.09,0.60,0.61,0.95
cryptosystem,21,-0.12,0.48,0.60,0.90
crystals,1,-0.09,0.60,0.65,0.88
ctrl,13,-0.17,0.46,0.53,0.88
cubesats,6,-0.17,0.45,0.58,0.98
culminate,30,-0.16,0.48,0.50,0.88
cultivate,29,-0.02,0.69,0.73,0.83
cuquantum,9,0.29,0.27,0.55,0.75
curriculum,3,-0.14,0.55,0.50,0.97
customer,39,-0.12,0.59,0.63,0.92
cutting-edge,33,-0.11,0.59,0.67,0.94
cutting-edge-research,31,-0.09,0.60,0.60,0.98
cx,6,-0.17,0.45,0.51,0.93
cyber-attack,25,-0.14,0.54,0.50,0.93
cyberattacks,25,-0.14,0.54,0.74,0.74
cybercrime,25,-0.14,0.54,0.72,0.72
cybercriminal,21,-0.12,0.48,0.54,0.96
cyber-resiliency,6,-0.17,0.45,0.50,0.98
cyber-security,3,-0.14,0.55,0.70,0.85
cybersecurity,3,-0.14,0.55,0.73,0.82
cyberspace,25,-0.14,0.54,0.58,0.92
cyberthreats,25,-0.14,0.54,0.59,0.85
dabble,30,-0.16,0.48,0.51,0.87
dark-matter,1,-0.09,0.60,0.58,0.93
darling,14,-0.03,0.68,0.61,0.89
data,39,-0.12,0.59,0.56,0.97
data-analyst,26,-0.14,0.54,0.63,0.83
datacenter,6,-0.17,0.45,0.55,1.00
data-classification,6,-0.17,0.45,0.53,0.96
data-compression,6,-0.17,0.45,0.50,0.98
data-driven,33,-0.11,0.59,0.72,0.85
data-engineering,6,-0.17,0.45,0.60,1.00
data-flow,39,-0.12,0.59,0.67,0.93
data-logger,1,-0.09,0.60,0.59,0.97
data-privacy,3,-0.14,0.55,0.56,0.93
data-processing,31,-0.09,0.60,0.54,0.93
data-science,3,-0.14,0.55,0.68,0.99
data-scientist,26,-0.14,0.54,0.67,0.87
data-set,12,-0.11,0.59,0.61,0.98
dataset,12,-0.11,0.59,0.62,0.99
data-structure,39,-0.12,0.59,0.70,0.89
data-transfer,39,-0.12,0.59,0.68,0.85
data-transmission,39,-0.12,0.59,0.56,0.99
daunting,37,-0.15,0.56,0.57,0.93
dc,15,-0.19,0.47,0.51,0.95
dcl,13,-0.17,0.46,0.51,0.94
debate,28,-0.14,0.56,0.62,0.84
debut,15,-0.19,0.47,0.53,0.96
decarbonisation,3,-0.14,0.55,0.63,0.91
decipher,11,-0.10,0.60,0.61,0.97
decision,28,-0.14,0.56,0.68,0.88
decisive-role,32,-0.14,0.55,0.56,0.85
declare,11,-0.10,0.60,0.64,0.89
decoder,39,-0.12,0.59,0.68,0.95
decoherence,12,-0.11,0.59,0.63,0.97
decomposition,12,-0.11,0.59,0.68,0.99
décor,0,-0.16,0.50,0.53,0.88
decoupled,35,-0.17,0.50,0.61,0.84
decrypt,39,-0.12,0.59,0.50,0.94
decryption,39,-0.12,0.59,0.67,0.88
dedicate,22,-0.06,0.66,0.60,0.97
deem,11,-0.10,0.60,0.52,0.93
deep,5,-0.21,0.34,0.50,0.99
deepen,29,-0.02,0.69,0.77,0.75
deep-fake,21,-0.12,0.48,0.51,0.90
deep-q-network,9,0.29,0.27,0.55,0.81
deep-tech,6,-0.17,0.45,0.65,0.96
defendant,28,-0.14,0.56,0.60,0.93
defi,6,-0.17,0.45,0.54,0.96
define,29,-0.02,0.69,0.69,0.99
defined,35,-0.17,0.50,0.57,0.90
definition,18,-0.21,0.38,0.63,0.96
degradation,12,-0.11,0.59,0.61,0.95
degrade,11,-0.10,0.60,0.64,0.94
delamination,1,-0.09,0.60,0.66,0.95
deliver,29,-0.02,0.69,0.78,0.94
delocalized,1,-0.09,0.60,0.59,0.98
delta-variant,7,-0.11,0.60,0.56,0.92
delve,11,-0.10,0.60,0.52,1.00
dementia,7,-0.11,0.60,0.54,0.88
democracy,25,-0.14,0.54,0.56,0.96
democratize,29,-0.02,0.69,0.67,0.85
demonstrate,29,-0.02,0.69,0.72,0.95
denounce,11,-0.10,0.60,0.59,0.94
density,12,-0.11,0.59,0.72,0.89
depend,11,-0.10,0.60,0.57,0.94
dependent,37,-0.15,0.56,0.58,0.93
deploy,22,-0.06,0.66,0.74,0.95
deployment,3,-0.14,0.55,0.54,0.97
depth,12,-0.11,0.59,0.51,0.96
derive,11,-0.10,0.60,0.53,0.98
describe,11,-0.10,0.60,0.70,0.86
descriptor,21,-0.12,0.48,0.54,0.98
design,3,-0.14,0.55,0.63,1.00
designate,22,-0.06,0.66,0.65,0.97
designer-handbag,0,-0.16,0.50,0.52,0.89
designing,33,-0.11,0.59,0.54,0.97
desired,37,-0.15,0.56,0.53,0.99
destroy,11,-0.10,0.60,0.73,0.86
detect,11,-0.10,0.60,0.56,0.99
detector,1,-0.09,0.60,0.79,0.84
deter,11,-0.10,0.60,0.69,0.86
determine,22,-0.06,0.66,0.68,0.95
detrimental,37,-0.15,0.56,0.67,0.86
develop,29,-0.02,0.69,0.80,0.93
developers-access,16,-0.20,0.41,0.57,0.90
developing,3,-0.14,0.55,0.62,0.92
development,3,-0.14,0.55,0.68,0.86
development-director,26,-0.14,0.54,0.58,0.83
device,39,-0.12,0.59,0.85,0.83
device-connectivity,6,-0.17,0.45,0.56,0.96
device-size,12,-0.11,0.59,0.66,0.88
devise,22,-0.06,0.66,0.70,0.91
dgist,9,0.29,0.27,0.55,0.77
diagnosis,7,-0.11,0.60,0.64,0.87
diagnostic,31,-0.09,0.60,0.63,0.89
diagonal,1,-0.09,0.60,0.58,0.96
diagonalization,9,0.29,0.27,0.51,0.61
diamagnetic,13,-0.17,0.46,0.57,0.97
diamond,0,-0.16,0.50,0.60,0.97
dielectric,1,-0.09,0.60,0.71,0.89
dielectric-materials,1,-0.09,0.60,0.63,0.86
different,37,-0.15,0.56,0.59,0.95
differentiable-programming,9,0.29,0.27,0.58,0.71
differential-equation,21,-0.12,0.48,0.62,0.96
different-node,21,-0.12,0.48,0.56,0.92
difficult,37,-0.15,0.56,0.75,0.81
diffraction,1,-0.09,0.60,0.68,0.94
diffusion,12,-0.11,0.59,0.73,0.95
digit,13,-0.17,0.46,0.54,0.91
digital,33,-0.11,0.59,0.66,0.98
digital-camera,0,-0.16,0.50,0.61,0.94
digital-communication,6,-0.17,0.45,0.53,0.97
digital-economy,3,-0.14,0.55,0.69,0.82
digital-innovation,3,-0.14,0.55,0.78,0.74
digitalization,3,-0.14,0.55,0.79,0.75
digitalize,29,-0.02,0.69,0.69,0.92
digital-marketing,3,-0.14,0.55,0.65,0.87
digital-payments,3,-0.14,0.55,0.50,0.96
digital-signal,1,-0.09,0.60,0.64,0.94
digital-signature,39,-0.12,0.59,0.61,0.95
digital-twin,39,-0.12,0.59,0.67,0.95
dilute,11,-0.10,0.60,0.62,0.95
dilution-refrigerator,21,-0.12,0.48,0.55,0.93
dimension,12,-0.11,0.59,0.51,0.97
dimension-reduction,13,-0.17,0.46,0.56,0.99
dipole-dipole-interaction,9,0.29,0.27,0.51,0.65
direct,22,-0.06,0.66,0.59,0.99
direct-access,16,-0.20,0.41,0.67,0.86
direct-connection,16,-0.20,0.41,0.52,0.91
director,26,-0.14,0.54,0.53,0.90
disclose,11,-0.10,0.60,0.62,0.98
discover,11,-0.10,0.60,0.59,0.97
discovery,6,-0.17,0.45,0.53,0.98
discrete,12,-0.11,0.59,0.53,1.00
discriminator,12,-0.11,0.59,0.54,0.97
discuss,22,-0.06,0.66,0.63,0.95
discussion,28,-0.14,0.56,0.52,0.99
disease,7,-0.11,0.60,0.73,0.82
dish,0,-0.16,0.50,0.67,0.91
disinformation,25,-0.14,0.54,0.69,0.77
dismiss,11,-0.10,0.60,0.64,0.88
disorder,7,-0.11,0.60,0.66,0.82
display,39,-0.12,0.59,0.51,0.99
display-screen,1,-0.09,0.60,0.58,0.96
disrupt,29,-0.02,0.69,0.72,0.90
disruptive,37,-0.15,0.56,0.67,0.87
dissipation,1,-0.09,0.60,0.73,0.97
distillation,1,-0.09,0.60,0.51,0.94
distinct,35,-0.17,0.50,0.56,0.92
distinctive,8,-0.17,0.51,0.64,0.94
distinguish,11,-0.10,0.60,0.70,0.88
distribute,22,-0.06,0.66,0.67,0.85
distributed-computing,6,-0.17,0.45,0.72,0.97
disturb,11,-0.10,0.60,0.68,0.97
dive,19,-0.16,0.53,0.65,0.87
diverse,8,-0.17,0.51,0.59,0.98
diversification,3,-0.14,0.55,0.63,0.93
diversity,3,-0.14,0.55,0.61,0.87
diy,0,-0.16,0.50,0.54,0.86
dlr,13,-0.17,0.46,0.51,0.89
dnn,13,-0.17,0.46,0.58,0.95
do,10,-0.06,0.66,0.61,0.91
document,2,-0.19,0.47,0.59,0.90
documentation,2,-0.19,0.47,0.77,0.79
dodge,30,-0.16,0.48,0.52,0.90
doe,18,-0.21,0.38,0.54,0.95
doing,8,-0.17,0.51,0.55,0.96
dolby,0,-0.16,0.50,0.53,0.94
dolby-atmos,17,-0.09,0.62,0.65,0.94
domain,39,-0.12,0.59,0.65,0.87
dominant-player,32,-0.14,0.55,0.61,0.84
dominate,30,-0.16,0.48,0.61,0.98
dopant,1,-0.09,0.60,0.73,0.84
doped,1,-0.09,0.60,0.61,0.91
double,38,-0.21,0.45,0.55,0.94
doug,14,-0.03,0.68,0.83,0.64
dr,26,-0.14,0.54,0.74,0.87
draw,19,-0.16,0.53,0.69,0.97
dream,8,-0.17,0.51,0.51,0.97
drive,29,-0.02,0.69,0.78,0.77
driver,39,-0.12,0.59,0.51,1.00
drone,39,-0.12,0.59,0.59,0.97
drug,7,-0.11,0.60,0.68,0.83
drug-discovery,31,-0.09,0.60,0.71,0.90
dtu,26,-0.14,0.54,0.59,0.93
durability,12,-0.11,0.59,0.54,0.94
d-wave,6,-0.17,0.45,0.52,0.93
dye,1,-0.09,0.60,0.59,0.88
dynamic,33,-0.11,0.59,0.60,0.97
dynamical,12,-0.11,0.59,0.68,0.98
dynamically,39,-0.12,0.59,0.63,0.95
dynamic-behavior,12,-0.11,0.59,0.69,0.88
dynamic-programming,6,-0.17,0.45,0.57,0.88
e484k,7,-0.11,0.60,0.55,0.92
e6,13,-0.17,0.46,0.65,0.81
eagle,15,-0.19,0.47,0.62,0.89
earn,10,-0.06,0.66,0.58,0.91
earth,20,-0.13,0.57,0.54,0.95
easily,39,-0.12,0.59,0.63,0.89
easy,37,-0.15,0.56,0.59,0.95
easy-access,16,-0.20,0.41,0.63,0.91
ebitda,38,-0.21,0.45,0.52,0.87
ecc,13,-0.17,0.46,0.50,0.91
e-commerce,3,-0.14,0.55,0.64,0.85
economic,3,-0.14,0.55,0.56,0.96
economical,33,-0.11,0.59,0.69,0.81
economy,4,-0.20,0.45,0.65,0.91
ecosystem,3,-0.14,0.55,0.68,0.89
edge-computing,31,-0.09,0.60,0.65,0.97
edition,15,-0.19,0.47,0.50,0.99
editor,26,-0.14,0.54,0.56,0.95
editor-in-chief,26,-0.14,0.54,0.60,0.83
educate,22,-0.06,0.66,0.61,0.97
education,3,-0.14,0.55,0.64,0.85
educational-research,31,-0.09,0.60,0.59,0.99
educator,26,-0.14,0.54,0.59,0.96
effective,37,-0.15,0.56,0.55,0.93
effective-technology,33,-0.11,0.59,0.56,0.98
efficiency,3,-0.14,0.55,0.65,0.92
efficient,33,-0.11,0.59,0.76,0.84
efficiently,33,-0.11,0.59,0.54,0.96
eigenvector,13,-0.17,0.46,0.58,1.00
elaborate,11,-0.10,0.60,0.53,0.98
election,28,-0.14,0.56,0.72,0.83
electrical,31,-0.09,0.60,0.60,0.90
electrical-conductor,1,-0.09,0.60,0.65,0.86
electrical-signal,1,-0.09,0.60,0.66,0.93
electric-vehicle,17,-0.09,0.62,0.53,0.96
electromagnetic,1,-0.09,0.60,0.66,0.93
electromagnetic-energy,1,-0.09,0.60,0.70,0.81
electromagnetic-wave,1,-0.09,0.60,0.69,0.85
electron,1,-0.09,0.60,0.76,0.84
electron-density,12,-0.11,0.59,0.76,0.94
electronic,31,-0.09,0.60,0.55,0.94
electronic-communication,2,-0.19,0.47,0.57,0.95
electronic-component,1,-0.09,0.60,0.64,0.85
electronics,31,-0.09,0.60,0.58,0.89
electrons,1,-0.09,0.60,0.79,0.86
element,1,-0.09,0.60,0.62,0.98
elevate,29,-0.02,0.69,0.84,0.68
elicit,11,-0.10,0.60,0.59,0.99
eliminate,11,-0.10,0.60,0.67,0.96
else,20,-0.13,0.57,0.56,0.90
elte,9,0.29,0.27,0.52,0.87
embed,29,-0.02,0.69,0.70,0.89
embrace,29,-0.02,0.69,0.71,0.91
emerge,11,-0.10,0.60,0.61,0.96
emerging,3,-0.14,0.55,0.50,0.96
emerging-area,24,-0.18,0.46,0.59,0.91
emerging-industry,24,-0.18,0.46,0.56,0.95
emerging-player,24,-0.18,0.46,0.53,0.88
emerging-technology,3,-0.14,0.55,0.65,0.94
emission,1,-0.09,0.60,0.63,0.98
emit,30,-0.16,0.48,0.50,0.99
emitter,1,-0.09,0.60,0.73,0.81
emphasize,11,-0.10,0.60,0.69,0.91
employ,22,-0.06,0.66,0.67,0.93
empower,29,-0.02,0.69,0.70,0.93
emulate,11,-0.10,0.60,0.66,0.93
enable,22,-0.06,0.66,0.67,1.00
enabling,33,-0.11,0.59,0.52,0.98
enantioselective,13,-0.17,0.46,0.58,0.96
encode,12,-0.11,0.59,0.51,0.99
encoded,35,-0.17,0.50,0.58,0.94
encompass,30,-0.16,0.48,0.50,0.99
encounter,11,-0.10,0.60,0.58,0.98
encourage,22,-0.06,0.66,0.64,0.98
encrypt,39,-0.12,0.59,0.56,0.96
encrypted,39,-0.12,0.59,0.58,0.90
encrypted-email,39,-0.12,0.59,0.54,0.98
encryption,39,-0.12,0.59,0.64,0.89
encryption-key,39,-0.12,0.59,0.63,0.87
end-to-end,33,-0.11,0.59,0.66,0.89
end-use,27,-0.20,0.36,0.56,0.94
enemy,5,-0.21,0.34,0.60,0.98
enemy-submarine,24,-0.18,0.46,0.51,0.99
energy,3,-0.14,0.55,0.57,0.90
energy-sector,3,-0.14,0.55,0.56,0.96
energy-storage,3,-0.14,0.55,0.61,0.99
enforce,22,-0.06,0.66,0.70,0.94
engage,22,-0.06,0.66,0.73,0.90
engineer,26,-0.14,0.54,0.64,0.93
engineered,33,-0.11,0.59,0.58,0.91
engineering,31,-0.09,0.60,0.67,0.98
engineering-directorate,26,-0.14,0.54,0.59,0.98
enhance,29,-0.02,0.69,0.80,0.80
enhanced,33,-0.11,0.59,0.50,0.96
enhancing,3,-0.14,0.55,0.59,0.91
enjoy,10,-0.06,0.66,0.71,0.82
enough,20,-0.13,0.57,0.51,0.95
ensemble,15,-0.19,0.47,0.53,0.98
ensure,22,-0.06,0.66,0.68,0.95
entail,30,-0.16,0.48,0.53,0.99
entangle,30,-0.16,0.48,0.56,0.84
entanglement,1,-0.09,0.60,0.53,0.98
enter,10,-0.06,0.66,0.62,0.96
enterprise,3,-0.14,0.55,0.73,0.82
enterprise-software,3,-0.14,0.55,0.54,0.96
entity,2,-0.19,0.47,0.52,0.96
entrepreneur,24,-0.18,0.46,0.57,0.99
entrepreneurial,8,-0.17,0.51,0.55,0.97
entropy,12,-0.11,0.59,0.77,0.81
environment,3,-0.14,0.55,0.60,0.88
environmental,3,-0.14,0.55,0.62,0.86
environmental-noise,12,-0.11,0.59,0.52,0.99
enzymatic,1,-0.09,0.60,0.59,0.94
epfl,26,-0.14,0.54,0.69,0.89
epsrc,26,-0.14,0.54,0.52,0.97
equation,12,-0.11,0.59,0.59,0.92
equilibrium,12,-0.11,0.59,0.58,0.93
equip,22,-0.06,0.66,0.70,0.96
equivalent,38,-0.21,0.45,0.59,0.84
eradicate,11,-0.10,0.60,0.60,0.95
error-correction,12,-0.11,0.59,0.68,0.88
error-free,33,-0.11,0.59,0.53,0.91
error-function,13,-0.17,0.46,0.53,0.98
especially,4,-0.20,0.45,0.54,0.93
espionage,25,-0.14,0.54,0.70,0.76
essential,37,-0.15,0.56,0.72,0.83
essential-step,32,-0.14,0.55,0.60,0.90
establish,22,-0.06,0.66,0.76,0.95
estimate,38,-0.21,0.45,0.51,0.91
estimated,38,-0.21,0.45,0.59,0.87
estimation,12,-0.11,0.59,0.53,0.97
eurohpc,36,-0.20,0.39,0.50,0.96
ev,17,-0.09,0.62,0.60,0.92
evaluate,22,-0.06,0.66,0.76,0.87
even,20,-0.13,0.57,0.71,0.76
ever,20,-0.13,0.57,0.59,0.88
everybody,20,-0.13,0.57,0.57,0.91
everyday-object,24,-0.18,0.46,0.59,0.87
everyone,20,-0.13,0.57,0.73,0.77
everything,20,-0.13,0.57,0.63,0.85
evidence,28,-0.14,0.56,0.51,1.00
evolutionary-biology,26,-0.14,0.54,0.63,0.93
evolve,29,-0.02,0.69,0.76,0.82
evolving,3,-0.14,0.55,0.55,0.97
evs,17,-0.09,0.62,0.54,0.91
exaggerated,35,-0.17,0.50,0.55,0.90
examine,22,-0.06,0.66,0.72,0.95
exascale,6,-0.17,0.45,0.54,0.94
exceed,38,-0.21,0.45,0.50,0.95
excellence,3,-0.14,0.55,0.57,0.90
exceptional,8,-0.17,0.51,0.65,0.82
excitation,12,-0.11,0.59,0.75,0.99
excite,30,-0.16,0.48,0.64,0.89
excited,8,-0.17,0.51,0.56,0.93
exciting,8,-0.17,0.51,0.77,0.83
exciting-time,32,-0.14,0.55,0.58,0.94
exciton,1,-0.09,0.60,0.69,0.89
exclude,11,-0.10,0.60,0.64,0.86
exclusion,18,-0.21,0.38,0.54,0.92
execute,22,-0.06,0.66,0.71,0.95
executive,26,-0.14,0.54,0.58,0.93
executive-director,26,-0.14,0.54,0.61,0.86
exert,11,-0.10,0.60,0.64,0.90
exist,11,-0.10,0.60,0.60,0.92
expand,29,-0.02,0.69,0.76,0.85
expanding,3,-0.14,0.55,0.53,0.94
expansion,3,-0.14,0.55,0.56,0.95
expectation-value,13,-0.17,0.46,0.54,0.98
expedite,22,-0.06,0.66,0.70,0.97
expend,11,-0.10,0.60,0.51,0.99
experimental-effort,24,-0.18,0.46,0.60,0.98
experimental-error,13,-0.17,0.46,0.53,0.98
experimentally,12,-0.11,0.59,0.67,0.92
experimental-physicist,24,-0.18,0.46,0.64,0.98
experimental-result,13,-0.17,0.46,0.52,0.94
expertise,3,-0.14,0.55,0.73,0.85
explain,11,-0.10,0.60,0.78,0.86
explainable-artificial-intelligence,6,-0.17,0.45,0.60,0.91
exploit,11,-0.10,0.60,0.68,0.98
explore,29,-0.02,0.69,0.71,0.96
expose,11,-0.10,0.60,0.82,0.81
exquisite,0,-0.16,0.50,0.61,0.86
extend,22,-0.06,0.66,0.67,0.98
extensible,33,-0.11,0.59,0.69,0.82
extortion,25,-0.14,0.54,0.71,0.73
extract,11,-0.10,0.60,0.54,0.97
extracted,35,-0.17,0.50,0.54,0.90
extraction,31,-0.09,0.60,0.52,0.97
extraordinary,8,-0.17,0.51,0.61,0.85
extreme,35,-0.17,0.50,0.55,0.95
f,13,-0.17,0.46,0.62,0.90
fabrication,31,-0.09,0.60,0.56,0.93
face,11,-0.10,0.60,0.60,0.96
facilitate,29,-0.02,0.69,0.76,0.97
facilitation,3,-0.14,0.55,0.56,0.95
faction,28,-0.14,0.56,0.60,0.90
falcon,15,-0.19,0.47,0.54,0.96
family,20,-0.13,0.57,0.66,0.83
fan,15,-0.19,0.47,0.67,0.93
fantastic,8,-0.17,0.51,0.71,0.78
fascinate,30,-0.16,0.48,0.59,0.82
fast-access,16,-0.20,0.41,0.65,0.82
faster-internet,16,-0.20,0.41,0.54,0.88
fault-tolerant,33,-0.11,0.59,0.64,0.91
fault-tolerant-quantum-computer,21,-0.12,0.48,0.53,0.92
fault-tolerant-quantum-computing,9,0.29,0.27,0.53,0.90
favorite,0,-0.16,0.50,0.58,0.95
fe,13,-0.17,0.46,0.63,0.86
features,0,-0.16,0.50,0.53,0.99
federal,25,-0.14,0.54,0.55,0.91
federal-entity,18,-0.21,0.38,0.50,0.91
federal-law-enforcement,25,-0.14,0.54,0.62,0.84
feed,19,-0.16,0.53,0.56,0.95
feedback,2,-0.19,0.47,0.54,0.92
feed-forward,13,-0.17,0.46,0.53,0.99
feel,10,-0.06,0.66,0.63,0.92
fellow,26,-0.14,0.54,0.70,0.86
fellowship,26,-0.14,0.54,0.55,0.91
fermilab,26,-0.14,0.54,0.64,0.90
ferromagnetic,1,-0.09,0.60,0.66,0.88
fiber-optics,31,-0.09,0.60,0.64,0.91
fibre-optic-cable,36,-0.20,0.39,0.56,0.96
field,20,-0.13,0.57,0.51,0.96
field-effect-transistor,1,-0.09,0.60,0.56,0.94
fig,13,-0.17,0.46,0.66,1.00
figure-5,12,-0.11,0.59,0.62,0.93
figures-5b,13,-0.17,0.46,0.50,0.95
file,2,-0.19,0.47,0.57,0.95
fill,10,-0.06,0.66,0.67,0.92
film,20,-0.13,0.57,0.65,0.92
filter,39,-0.12,0.59,0.57,0.95
final-order,2,-0.19,0.47,0.52,0.98
finance,3,-0.14,0.55,0.52,0.89
financial-services,3,-0.14,0.55,0.59,0.86
financial-transaction,18,-0.21,0.38,0.50,0.96
find,10,-0.06,0.66,0.77,0.85
fintech,3,-0.14,0.55,0.62,0.90
fire-tvs,0,-0.16,0.50,0.51,0.89
firmware,39,-0.12,0.59,0.78,0.92
first,15,-0.19,0.47,0.51,0.92
first-big-step,32,-0.14,0.55,0.57,0.85
first-frequency,1,-0.09,0.60,0.56,0.97
first-mover-advantage,16,-0.20,0.41,0.56,0.97
first-significant-step,32,-0.14,0.55,0.54,0.89
first-study,7,-0.11,0.60,0.54,0.92
first-voltage,1,-0.09,0.60,0.56,0.97
fiscal,38,-0.21,0.45,0.53,0.89
fit,10,-0.06,0.66,0.60,0.99
flagship,0,-0.16,0.50,0.51,0.95
flexibility,3,-0.14,0.55,0.55,0.96
flexible,33,-0.11,0.59,0.76,0.83
floating-point,13,-0.17,0.46,0.53,0.99
fluid,1,-0.09,0.60,0.58,0.96
fluid-mechanics,31,-0.09,0.60,0.64,0.89
fluorescence,1,-0.09,0.60,0.76,0.98
fluorescent,1,-0.09,0.60,0.67,0.84
fluorophore,1,-0.09,0.60,0.71,0.88
focus,29,-0.02,0.69,0.62,0.92
foi,2,-0.19,0.47,0.56,0.99
follow,22,-0.06,0.66,0.61,1.00
follow-up,2,-0.19,0.47,0.50,0.95
food,20,-0.13,0.57,0.53,0.90
force,11,-0.10,0.60,0.50,0.97
foreseeable,37,-0.15,0.56,0.53,0.95
forge,29,-0.02,0.69,0.65,0.86
formalism,18,-0.21,0.38,0.65,0.86
format,39,-0.12,0.59,0.57,0.92
formulate,22,-0.06,0.66,0.73,0.88
forschungszentrum-jülich,26,-0.14,0.54,0.58,0.96
forward-thinking,8,-0.17,0.51,0.64,0.90
foster,29,-0.02,0.69,0.75,0.80
foundational,32,-0.14,0.55,0.56,0.96
founder,26,-0.14,0.54,0.57,0.89
fpgas,17,-0.09,0.62,0.76,0.79
fragile,37,-0.15,0.56,0.58,0.95
fragmentation,12,-0.11,0.59,0.55,0.96
frame,1,-0.09,0.60,0.54,0.98
framerate,12,-0.11,0.59,0.52,1.00
framework,3,-0.14,0.55,0.55,0.97
fraud,25,-0.14,0.54,0.74,0.74
fraunhofer-iaf,9,0.29,0.27,0.51,0.63
free-access,16,-0.20,0.41,0.55,0.89
free-parameter,21,-0.12,0.48,0.62,0.89
free-space,1,-0.09,0.60,0.58,0.91
french-government,28,-0.14,0.56,0.55,0.93
frequency,12,-0.11,0.59,0.72,0.86
frequency-comb,21,-0.12,0.48,0.62,0.90
fresh,0,-0.16,0.50,0.57,0.92
frictionless,33,-0.11,0.59,0.66,0.85
friend,14,-0.03,0.68,0.59,0.99
friendly,8,-0.17,0.51,0.62,0.88
front,19,-0.16,0.53,0.54,0.95
front-runner,32,-0.14,0.55,0.52,0.90
frontrunner,32,-0.14,0.55,0.58,0.85
fruitful,8,-0.17,0.51,0.51,0.96
f-s,13,-0.17,0.46,0.60,0.86
fulfill,22,-0.06,0.66,0.71,0.97
full-access,16,-0.20,0.41,0.58,0.87
full-stack,6,-0.17,0.45,0.60,0.99
full-stack-solution,6,-0.17,0.45,0.50,0.99
function,39,-0.12,0.59,0.59,0.95
functional,33,-0.11,0.59,0.76,0.78
functionality,39,-0.12,0.59,0.70,0.91
functional-layer,1,-0.09,0.60,0.63,0.89
functional-programming,6,-0.17,0.45,0.61,0.86
fundamental,37,-0.15,0.56,0.64,0.93
fundamental-building-block,32,-0.14,0.55,0.63,0.90
fundamental-component,32,-0.14,0.55,0.65,0.93
fundamental-limitation,21,-0.12,0.48,0.58,0.89
fundamental-physics,31,-0.09,0.60,0.70,0.91
fuse,30,-0.16,0.48,0.51,0.99
fusion,6,-0.17,0.45,0.65,0.95
fusion-energy,6,-0.17,0.45,0.58,0.99
